Name,Program,Notes,Don't show on website,No Need for Volunteers,Start,End,Site,Estimated Cost,Total Service Hours,Total Prep Hours (entered in minutes),Num Participants,Map,Program Name,Description,Pictures,Age Group,Female,Male,Summary of Event,Staffed By,Num Caucasian,Num Hispanic,Num Asian,Num African American,Num Age: k-5,Num Age: 6-8,Num Age: 9-12,Num Age: Adult,Num Other/Prefer not to say,Learn more,Needs Registration?,Registration Number,Registration Link,How to register,Address,Geocoded,Adults
Feb 7th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 7, 2018 5:30pm","February 7, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM0NTE2MzY2MTk5fQ==,
Feb 12th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 12, 2018 5:30pm","February 12, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzM2NzcyfQ==,
Feb 14th Wed 6:00 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 14, 2018 6:00pm","February 14, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM3NjQyMTA2MzE1fQ==,
Feb 19th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 19, 2018 5:30pm","February 19, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzI0MjAxfQ==,
Feb 21st Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 21, 2018 5:30pm","February 21, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM0NTE2Mzc0MDI2fQ==,
Feb 26th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 26, 2018 5:30pm","February 26, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzI2MTQzfQ==,
Feb 28th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"February 28, 2018 5:30pm","February 28, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzQ4MDE0fQ==,
Mar 3rd Sat 9:00 AM to 1:00 PM Raspberry Jam,Raspberry Jam,,,,"March 3, 2018 9:00am","March 3, 2018 1:00pm",Station Houston,,4:00,,30,"https://maps.google.com/maps?hl=en&q=Station+Houston+1301+Fannin+Street+Suite+2440,++Houston+TX+77002",The Ripple Effect,"Raspberry Jams are community events for people to come together to learn about digital making with Raspberry Pi. Jam events come in all shapes and sizes: workshops for beginners, drop-in sessions to work on your own projects, show-and-tell, talks, and more. A Jam is a meeting of all kinds of people: some will be new to physical computing, and some will have plenty of experience that they are happy to share. Jams are welcoming events where you’ll meet and learn from like-minded people in a friendly environment.","FXZXNI8HKPX6H1B.RECT2100.jpg (https://dl.airtable.com/Pe98BURQIe11GOr77Qwq_FXZXNI8HKPX6H1B.RECT2100.jpg), programme-thumbnail-01.png (https://dl.airtable.com/EDi6NsZOTFQGSG6pyFj5_programme-thumbnail-01.png)","k-5th, 6th-8th, 9th-12, adult",,,,,,,,,,,,,,,,,, ,"1301 Fannin Street Suite 2440, 
Houston TX
77002",🔵 eyJpIjoiMTMwMSBGYW5uaW4gU3RyZWV0IFN1aXRlIDI0NDAsIFxuSG91c3RvbiBUWFxuNzcwMDIiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEzMDEgRmFubmluIFN0ICMyNDQwLCBIb3VzdG9uLCBUWCA3NzAwMiwgVVNBIiwibGF0IjoyOS43NTM3ODY3LCJsbmciOi05NS4zNjU4NDgyMDAwMDAwMn0sImUiOjE1MzUzODk3NDU5NTB9,checked
Mar 5th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"March 5, 2018 5:30pm","March 5, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzIxNzY0fQ==,
Mar 7th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"March 7, 2018 5:30pm","March 7, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,1:00,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzU0MDAxfQ==,
Mar 20th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Build Your Own Virtual Reality,,,,"March 20, 2018 3:30pm","March 20, 2018 5:00pm",KIPP Academy,,1:30,,11,"https://maps.google.com/maps?hl=en&q=KIPP+Academy+10711+KIPP+Way,++Houston+TX+77099",Ready for the Future,"In Code Park's Build Your Own Virtual Reality workshop, students work in teams to create characters, scenes, and 3D animations. ",webvr.jpg (https://dl.airtable.com/RvI0Nz8pR6iVmwgFTUnu_webvr.jpg),"6th-8th, 9th-12",,,,,,,,,,,,,,,checked,,,Closed,"10711 KIPP Way, 
Houston TX
77099",🔵 eyJpIjoiMTA3MTEgS0lQUCBXYXksIFxuSG91c3RvbiBUWFxuNzcwOTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEwNzExIEtpcHAgV2F5IFN0LCBIb3VzdG9uLCBUWCA3NzA5OSwgVVNBIiwibGF0IjoyOS42NjkzNTk3LCJsbmciOi05NS41NjYxODI0OTk5OTk5N30sImUiOjE1MzQ1MTYzNjE3NzN9,
Mar 22nd Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Build Your Own Virtual Reality,,,,"March 22, 2018 3:30pm","March 22, 2018 5:00pm",KIPP Academy,,1:30,,,"https://maps.google.com/maps?hl=en&q=KIPP+Academy+10711+KIPP+Way,++Houston+TX+77099",Ready for the Future,"In Code Park's Build Your Own Virtual Reality workshop, students work in teams to create characters, scenes, and 3D animations. ",webvr.jpg (https://dl.airtable.com/RvI0Nz8pR6iVmwgFTUnu_webvr.jpg),"6th-8th, 9th-12",,,,,,,,,,,,,,,checked,,,Closed,"10711 KIPP Way, 
Houston TX
77099",🔵 eyJpIjoiMTA3MTEgS0lQUCBXYXksIFxuSG91c3RvbiBUWFxuNzcwOTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEwNzExIEtpcHAgV2F5IFN0LCBIb3VzdG9uLCBUWCA3NzA5OSwgVVNBIiwibGF0IjoyOS42NjkzNTk3LCJsbmciOi05NS41NjYxODI0OTk5OTk5N30sImUiOjE1MzQ1MTYzNDk5OTR9,
Mar 24th Sat 9:00 AM to 1:00 PM Intro to R ,Intro to R ,,,,"March 24, 2018 9:00am","March 24, 2018 1:00pm",Station Houston,,4:00,,30,"https://maps.google.com/maps?hl=en&q=Station+Houston+1301+Fannin+Street+Suite+2440,++Houston+TX+77002",Ready for the Future,"In this introduction to R workshop, participants will learn about the basics of this beautiful open source language.With over 2 million users worldwide R is rapidly becoming the leading programming language in statistics and data science.","RStudio_Logo.png (https://dl.airtable.com/qwY1PCJ0RY6Bz02gSA4v_RStudio_Logo.png), rstudio.png (https://dl.airtable.com/ut6pKApySyKbMwZGIqv7_rstudio.png)",adult,,,,,,,,,,,,,,,,,, ,"1301 Fannin Street Suite 2440, 
Houston TX
77002",🔵 eyJpIjoiMTMwMSBGYW5uaW4gU3RyZWV0IFN1aXRlIDI0NDAsIFxuSG91c3RvbiBUWFxuNzcwMDIiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEzMDEgRmFubmluIFN0ICMyNDQwLCBIb3VzdG9uLCBUWCA3NzAwMiwgVVNBIiwibGF0IjoyOS43NTM3ODY3LCJsbmciOi05NS4zNjU4NDgyMDAwMDAwMn0sImUiOjE1MzQ1MTYzNjI4NjJ9,checked
Mar 26th Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"March 26, 2018 5:30pm","March 26, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,,15,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzIyMDQyfQ==,
Mar 27th Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Build Your Own Virtual Reality,,,,"March 27, 2018 3:30pm","March 27, 2018 5:00pm",KIPP Academy,,1:30,,,"https://maps.google.com/maps?hl=en&q=KIPP+Academy+10711+KIPP+Way,++Houston+TX+77099",Ready for the Future,"In Code Park's Build Your Own Virtual Reality workshop, students work in teams to create characters, scenes, and 3D animations. ",webvr.jpg (https://dl.airtable.com/RvI0Nz8pR6iVmwgFTUnu_webvr.jpg),"6th-8th, 9th-12",,,,,,,,,,,,,,,checked,,,Closed,"10711 KIPP Way, 
Houston TX
77099",🔵 eyJpIjoiMTA3MTEgS0lQUCBXYXksIFxuSG91c3RvbiBUWFxuNzcwOTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEwNzExIEtpcHAgV2F5IFN0LCBIb3VzdG9uLCBUWCA3NzA5OSwgVVNBIiwibGF0IjoyOS42NjkzNTk3LCJsbmciOi05NS41NjYxODI0OTk5OTk5N30sImUiOjE1MzUzODk3Mzc5NTZ9,
Mar 28th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"March 28, 2018 5:30pm","March 28, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzE5NzM5fQ==,
Mar 29th Thu 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Build Your Own Virtual Reality,,,,"March 29, 2018 3:30pm","March 29, 2018 5:00pm",KIPP Academy,,1:30,,,"https://maps.google.com/maps?hl=en&q=KIPP+Academy+10711+KIPP+Way,++Houston+TX+77099",Ready for the Future,"In Code Park's Build Your Own Virtual Reality workshop, students work in teams to create characters, scenes, and 3D animations. ",webvr.jpg (https://dl.airtable.com/RvI0Nz8pR6iVmwgFTUnu_webvr.jpg),"6th-8th, 9th-12",,,,,,,,,,,,,,,checked,,,Closed,"10711 KIPP Way, 
Houston TX
77099",🔵 eyJpIjoiMTA3MTEgS0lQUCBXYXksIFxuSG91c3RvbiBUWFxuNzcwOTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEwNzExIEtpcHAgV2F5IFN0LCBIb3VzdG9uLCBUWCA3NzA5OSwgVVNBIiwibGF0IjoyOS42NjkzNTk3LCJsbmciOi05NS41NjYxODI0OTk5OTk5N30sImUiOjE1MzQ1MTY0MTMwNTN9,
Mar 31st Sat 10:00 AM to 12:00 PM Intro to Web Scraping with R,Intro to Web Scraping with R,,,,"March 31, 2018 10:00am","March 31, 2018 12:00pm",Station Houston,,2:00,,40,"https://maps.google.com/maps?hl=en&q=Station+Houston+1301+Fannin+Street+Suite+2440,++Houston+TX+77002",Ready for the Future,"In this hands-on introduction, students learn about what web scraping is, why they may want to do it, and how to do it!  ",fin-analysis.png (https://dl.airtable.com/El6tUpBzT8CjGpWSuoj2_fin-analysis.png),adult,,,,,,,,,,,,,,,,,, ,"1301 Fannin Street Suite 2440, 
Houston TX
77002",🔵 eyJpIjoiMTMwMSBGYW5uaW4gU3RyZWV0IFN1aXRlIDI0NDAsIFxuSG91c3RvbiBUWFxuNzcwMDIiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEzMDEgRmFubmluIFN0ICMyNDQwLCBIb3VzdG9uLCBUWCA3NzAwMiwgVVNBIiwibGF0IjoyOS43NTM3ODY3LCJsbmciOi05NS4zNjU4NDgyMDAwMDAwMn0sImUiOjE1MzQ1MTYzOTk1ODF9,checked
Mar 31st Sat 12:00 PM to 2:00 PM Maps with R ,Maps with R ,,,,"March 31, 2018 12:00pm","March 31, 2018 2:00pm",Station Houston,,2:00,,40,"https://maps.google.com/maps?hl=en&q=Station+Houston+1301+Fannin+Street+Suite+2440,++Houston+TX+77002",Ready for the Future,Learn to make interactive maps with data using R to communicate insights about your community.,7da31e43fb0fe502df140b9e7667c63a.png (https://dl.airtable.com/wcSkjoIvRc22xdVfjRfb_7da31e43fb0fe502df140b9e7667c63a.png),adult,,,,,,,,,,,,,,,,,, ,"1301 Fannin Street Suite 2440, 
Houston TX
77002",🔵 eyJpIjoiMTMwMSBGYW5uaW4gU3RyZWV0IFN1aXRlIDI0NDAsIFxuSG91c3RvbiBUWFxuNzcwMDIiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEzMDEgRmFubmluIFN0ICMyNDQwLCBIb3VzdG9uLCBUWCA3NzAwMiwgVVNBIiwibGF0IjoyOS43NTM3ODY3LCJsbmciOi05NS4zNjU4NDgyMDAwMDAwMn0sImUiOjE1MzUzODk3MjEzNDd9,checked
Apr 2nd Mon 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"April 2, 2018 5:30pm","April 2, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5NzQ5OTczfQ==,
Apr 3rd Tue 3:30 PM to 5:00 PM Build Your Own Virtual Reality,Build Your Own Virtual Reality,,,,"April 3, 2018 3:30pm","April 3, 2018 5:00pm",KIPP Academy,,1:30,,,"https://maps.google.com/maps?hl=en&q=KIPP+Academy+10711+KIPP+Way,++Houston+TX+77099",Ready for the Future,"In Code Park's Build Your Own Virtual Reality workshop, students work in teams to create characters, scenes, and 3D animations. ",webvr.jpg (https://dl.airtable.com/RvI0Nz8pR6iVmwgFTUnu_webvr.jpg),"6th-8th, 9th-12",,,,,,,,,,,,,,,checked,,,Closed,"10711 KIPP Way, 
Houston TX
77099",🔵 eyJpIjoiMTA3MTEgS0lQUCBXYXksIFxuSG91c3RvbiBUWFxuNzcwOTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwiZm9ybWF0dGVkQWRkcmVzcyI6IjEwNzExIEtpcHAgV2F5IFN0LCBIb3VzdG9uLCBUWCA3NzA5OSwgVVNBIiwibGF0IjoyOS42NjkzNTk3LCJsbmciOi05NS41NjYxODI0OTk5OTk5N30sImUiOjE1MzUzODk3MzUwNDl9,
Apr 4th Wed 5:30 PM to 7:00 PM Creative Coding with Scratch,Creative Coding with Scratch,,,,"April 4, 2018 5:30pm","April 4, 2018 7:00pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"In Code Park's Creative Coding with Scratch Workshop, learners engage in designing and making, not just listening, observing, and using computers. Learners engage in creative activities that are personally meaningful and relevant in an encouraging environment.",maxresdefault.jpg (https://dl.airtable.com/8lyImNs4QFm9sSOMoulm_maxresdefault.jpg),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,,,,, ,"2101 South St, 
Houston TX
77009",🔵 eyJpIjoiMjEwMSBTb3V0aCBTdCwgXG5Ib3VzdG9uIFRYXG43NzAwOSIsIm8iOnsic3RhdHVzIjoiT0siLCJmb3JtYXR0ZWRBZGRyZXNzIjoiMjEwMSBTb3V0aCBTdCwgSG91c3RvbiwgVFggNzcwMDksIFVTQSIsImxhdCI6MjkuNzc4MjYwMywibG5nIjotOTUuMzY3MDA2ODAwMDAwMDF9LCJlIjoxNTM1Mzg5ODIyOTQxfQ==,
